act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,quantile_95_act_travelling_time,quantile_90_act_travelling_time,quantile_95_act_occupied_time,quantile_90_act_occupied_time,quantile_85_act_travelling_time
2019-12-26 11:03:19.728,SKM,19,GC21,2019-12-26 11:03:34.669,14.941,5.0,False,False,False,False,False,False
2019-12-26 11:03:19.926,YAT,7006B,RC10,2019-12-26 11:04:18.056,58.13,14.0,False,False,False,False,False,False
2019-12-26 11:03:20.922,SKM,02,RC02,2019-12-26 11:03:41.641,20.719,7.0,False,False,False,False,False,False
2019-12-26 11:03:21.122,CHH,08,RC06,2019-12-26 11:03:45.028,23.906,5.0,False,False,False,False,False,False
2019-12-26 11:03:21.918,YAT,7005,GC13,2019-12-26 11:03:43.114,21.196,13.0,False,False,False,False,False,False
2019-12-26 11:03:21.918,TIK,7109A,GC12,2019-12-26 11:04:31.049,69.131,13.0,False,False,False,False,False,False
2019-12-26 11:03:22.018,HOM,22,RC26,2019-12-26 11:03:46.024,24.006,4.0,False,False,False,False,False,False
2019-12-26 11:03:22.118,MOK,31,GC23,2019-12-26 11:03:43.633,21.515,8.0,False,False,False,False,False,False
2019-12-26 11:03:22.317,MOK,32A,QC01,2019-12-26 11:04:34.634,72.317,54.0,True,False,False,False,False,False
2019-12-26 11:03:22.317,HOM,20,GC25,2019-12-26 11:04:28.259,65.942,48.0,False,False,False,False,False,False
2019-12-26 11:03:22.516,LAT,6105,GC14,2019-12-26 11:04:43.200,80.684,67.0,True,False,False,False,False,False
2019-12-26 11:03:24.110,NTK,11,GC16,2019-12-26 11:04:34.235,70.125,56.0,True,False,False,False,False,False
2019-12-26 11:03:24.708,KOB,04,QC07,2019-12-26 11:03:49.212,24.504,10.0,False,False,False,False,False,False
2019-12-26 11:03:24.907,SKM,21,GC21,2019-12-26 11:03:40.645,15.738,6.0,False,False,False,False,False,False
2019-12-26 11:03:26.301,CHH,11,GC18,2019-12-26 11:04:33.239,66.938,52.0,True,False,False,False,False,False
2019-12-26 11:03:26.501,CHH,10,RC06,2019-12-26 11:04:36.228,69.727,52.0,True,False,False,False,False,False
2019-12-26 11:03:26.899,HOM,05,RC26,2019-12-26 11:03:52.598,25.699,2.0,False,False,False,False,False,False
2019-12-26 11:03:27.092,LOF,09,GC20,2019-12-26 11:04:33.239,66.147,55.0,True,False,False,False,False,False
2019-12-26 11:03:27.895,SKM,01,GC22,2019-12-26 11:03:51.603,23.708,11.0,False,False,False,False,False,False
2019-12-26 11:03:28.493,SKM,04,RC02,2019-12-26 11:03:50.606,22.113,8.0,False,False,False,False,False,False
2019-12-26 11:03:29.887,KWT,6006,RC08,2019-12-26 11:03:53.794,23.907,6.0,False,False,False,False,False,False
