act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,arr_time,dep_time,arr_delay,dep_delay,incident,destination_code_train,timetable_code_train,number_train,quantile,fault_description,fault_classification,propagated,act_travelling_time_quantile,act_occupied_time_quantile
2019-11-19 00:04:51.600,SKM,13,KS12,2019-11-19 00:05:23.475,31.875,17.0,True,,,-76.16878743455499,-45.59356020942408,False,K,S,12,0,,,True,0,0
2019-11-19 00:04:54.208,KWT,6004,HA46,2019-11-19 00:05:18.295,24.087,7.0,False,,,-76.63813717277488,-46.071801047120424,False,H,A,46,0,,,True,0,0
2019-11-19 00:04:54.389,LOF,01,KS98,2019-11-19 00:05:04.948,10.559,8.0,False,,,-77.10748691099477,-46.55004188481676,False,K,S,98,0,,,True,0,0
2019-11-19 00:05:01.362,KWT,6002,HA46,2019-11-19 00:05:31.045,29.683000000000003,14.0,False,,,-77.57683664921467,-47.0282827225131,False,H,A,46,0,,,True,0,0
2019-11-19 00:05:02.757,LOF,03,KS98,2019-11-19 00:05:13.380,10.623,7.0,False,,,-78.04618638743456,-47.50652356020943,False,K,S,98,0,,,True,0,0
2019-11-19 00:05:08.733,SKM,15,KS12,2019-11-19 00:05:33.436,24.703000000000007,12.0,False,,,-78.51553612565445,-47.984764397905764,False,K,S,12,0,,,True,0,0
2019-11-19 00:05:09.131,CHH,27,KS06,2019-11-19 00:05:33.834,24.703000000000007,9.0,False,,,-78.98488586387435,-48.4630052356021,False,K,S,06,0,,,True,0,0
2019-11-19 00:05:10.327,LOF,05,KS98,2019-11-19 00:05:22.480,12.153,9.0,False,,,-79.45423560209424,-48.94124607329843,False,K,S,98,0,,,True,0,0
2019-11-19 00:05:15.707,NTK,02,HA46,2019-11-19 00:05:40.010,24.303,11.0,False,,,-79.92358534031413,-49.41948691099477,False,H,A,46,0,,,True,0,0
2019-11-19 00:05:18.295,CHH,36,KS06,2019-11-19 00:05:43.397,25.102,6.0,False,,,-80.39293507853404,-49.8977277486911,False,K,S,06,0,,,True,0,0
2019-11-19 00:05:19.889,LOF,07,KS98,2019-11-19 00:05:33.436,13.547,10.0,False,,,-80.86228481675393,-50.375968586387444,False,K,S,98,0,,,True,0,0
2019-11-19 00:05:20.885,SKM,17,KS12,2019-11-19 00:05:44.991,24.106,12.0,False,,,-81.33163455497382,-50.85420942408378,False,K,S,12,0,,,True,0,0
2019-11-19 00:05:24.471,CHH,34,KS06,2019-11-19 00:05:52.959,28.488000000000003,6.0,False,,,-81.80098429319372,-51.33245026178011,False,K,S,06,0,,,True,0,0
2019-11-19 00:05:27.459,NTK,04,HA46,2019-11-19 00:05:51.366,23.907,9.0,False,,,-82.27033403141361,-51.81069109947644,False,H,A,46,0,,,True,0,0
2019-11-19 00:05:30.847,LOF,09,KS98,2019-11-19 00:05:45.389,14.542,11.0,True,,,-82.73968376963352,-52.28893193717278,False,K,S,98,0,,,True,0,0
2019-11-19 00:05:31.444,CHH,32,KS06,2019-11-19 00:06:16.467,45.023,22.0,False,,,-83.2090335078534,-52.76717277486911,False,K,S,06,0,,,True,0,0
2019-11-19 00:05:33.038,SKM,19,KS12,2019-11-19 00:05:54.951,21.913,8.0,False,,,-83.67838324607331,-53.24541361256545,False,K,S,12,0,,,True,0,0
2019-11-19 00:05:37.022,NTK,06,HA46,2019-11-19 00:06:07.901,30.879,15.0,True,,,-84.1477329842932,-53.72365445026179,False,H,A,46,0,,,True,0,0
2019-11-19 00:05:41.205,SKM,21,KS12,2019-11-19 00:06:03.319,22.114,9.0,False,,,-84.61708272251309,-54.20189528795812,False,K,S,12,0,,,True,0,0
2019-11-19 00:05:42.600,LOF,11,KS98,2019-11-19 00:05:57.541,14.941,12.0,False,,,-85.086432460733,-54.68013612565446,False,K,S,98,0,,,True,0,0
2019-11-19 00:05:51.166,KOT,01,KS12,2019-11-19 00:06:11.368,20.202,8.0,False,,,-85.55578219895288,-55.15837696335079,False,K,S,12,0,,,True,0,0
2019-11-19 00:05:52.363,NTK,08,HA46,2019-11-19 00:06:24.436,32.073,13.0,False,,,-86.02513193717277,-55.63661780104712,False,H,A,46,0,,,True,0,0
2019-11-19 00:05:53.557,CHH,30,KS06,2019-11-19 00:06:27.025,33.468,11.0,False,,,-86.49448167539268,-56.114858638743456,False,K,S,06,0,,,True,0,0
2019-11-19 00:05:55.151,LOF,13,KS98,2019-11-19 00:06:08.498,13.347,10.0,False,,,-86.96383141361257,-56.59309947643979,False,K,S,98,0,,,True,0,0
2019-11-19 00:05:59.733,KOT,03,KS12,2019-11-19 00:06:19.455,19.722,8.0,False,,,-87.43318115183246,-57.07134031413614,False,K,S,12,0,,,True,0,0
2019-11-19 00:06:05.311,WTS,01,KS98,2019-11-19 00:06:19.455,14.144,12.0,False,,,-87.90253089005236,-57.54958115183247,False,K,S,98,0,,,True,0,0
2019-11-19 00:06:05.311,CHH,28,KS06,2019-11-19 00:20:40.870,875.559,,False,,,-88.37188062827227,-58.0278219895288,False,K,S,06,0,,,True,0,0
2019-11-19 00:06:05.988,NTK,10,HA46,2019-11-19 00:06:44.955,38.967,15.0,False,,,-88.84123036649214,-58.506062827225136,False,H,A,46,0,,,True,0,0
2019-11-19 00:06:07.901,KOT,05,KS12,2019-11-19 00:06:27.025,19.124,7.0,False,,,-89.31058010471205,-58.98430366492147,False,K,S,12,0,,,True,0,0
2019-11-19 00:06:15.869,KOT,07,KS12,2019-11-19 00:06:34.013,18.144,7.0,False,,,-89.77992984293195,-59.4625445026178,False,K,S,12,0,,,True,0,0
2019-11-19 00:06:17.861,WTS,03,KS98,2019-11-19 00:06:30.412,12.550999999999998,8.0,False,,,-90.24927958115184,-59.940785340314136,False,K,S,98,0,,,True,0,0
2019-11-19 00:06:21.647,NTK,12,HA46,2019-11-19 00:06:53.920,32.273,5.0,False,,,-90.71862931937173,-60.41902617801048,False,H,A,46,0,,,True,0,0
2019-11-19 00:06:23.240,KOT,09,KS12,2019-11-19 00:06:46.350,23.11,11.0,True,,,-91.18797905759163,-60.89726701570682,False,K,S,12,0,,,True,0,0
2019-11-19 00:06:26.627,WTS,05,KS98,2019-11-19 00:06:46.947,20.32,16.0,True,,,-91.65732879581152,-61.37550785340315,False,K,S,98,0,,,True,0,0
2019-11-19 00:06:27.623,NTK,14,HA46,2019-11-19 00:07:17.427,49.804,10.0,False,,,-92.12667853403141,-61.85374869109948,False,H,A,46,0,,,True,0,0
2019-11-19 00:06:35.193,KOT,11,KS12,2019-11-19 00:06:55.912,20.719,10.0,False,,,-92.59602827225132,-62.331989528795816,False,K,S,12,0,,,True,0,0
2019-11-19 00:06:38.382,NTK,16,HA46,2019-11-19 00:09:00.423,142.041,,False,,,-93.0653780104712,-62.81023036649215,False,H,A,46,0,,,True,0,0
2019-11-19 00:06:43.361,WTS,07,KS98,2019-11-19 00:06:58.900,15.539,13.0,False,,,-93.5347277486911,-63.28847120418848,False,K,S,98,0,,,True,0,0
2019-11-19 00:06:45.951,KOT,13,KS12,2019-11-19 00:07:04.877,18.926,7.0,False,,,-94.004077486911,-63.76671204188483,False,K,S,12,0,,,True,0,0
2019-11-19 00:06:53.521,KOT,15,KS12,2019-11-19 00:07:13.443,19.922,7.0,False,,,-94.4734272251309,-64.24495287958116,False,K,S,12,0,,,True,0,0
2019-11-19 00:06:57.107,WTS,09,KS98,2019-11-19 00:07:10.455,13.348,10.0,False,,,-94.94277696335078,-64.7231937172775,False,K,S,98,0,,,True,0,0
2019-11-19 00:07:00.693,KWT,6042,KS03,2019-11-19 00:07:36.154,35.461,7.0,False,,,-95.41212670157068,-65.20143455497383,False,K,S,03,0,,,True,0,0
2019-11-19 00:07:01.092,LOF,01,KS12,2019-11-19 00:07:21.415,20.323,8.0,False,,,-95.88147643979059,-65.67967539267016,False,K,S,12,0,,,True,0,0
2019-11-19 00:07:07.865,WTS,11,KS98,2019-11-19 00:07:20.416,12.550999999999998,9.0,False,,,-96.35082617801048,-66.1579162303665,False,K,S,98,0,,,True,0,0
